"diag_code","diag_desc"
"O2449","Diabetes mellitus arising during pregnancy, unspecified"
"W26","Contact with knife, sword or dagger"
"T8903","Other complications of open wounds"
"V184","Pedal cyclist injured in noncollision transport accident, driver, traffic accident"
"F1510","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use, unspecified stimulants"
"J980","Diseases of bronchus, not elsewhere classified"
"S001","Contusion of eyelid and periocular area"
"M84700","Mucinous cystadenoma NOS"
"O665","Failed application of vacuum extractor and forceps, unspecified"
"M205","Other deformities of toe(s) (acquired)"
"J841","Other interstitial pulmonary diseases with fibrosis"
"M97023","Mature T-cell lymphoma NOS"
"B953","Streptococcus pneumoniae as the cause of diseases classified to other chapters"
"M83123","Renal cell carcinoma NOS"
"M80726","Squamous cell carcinoma, large cell, nonkeratinising NOS, metastatic"
"M93913","Ependymoma NOS"
"C790","Secondary malignant neoplasm of kidney and renal pelvis"
"Y579","Drug or medicament, unspecified causing adverse effects in therapeutic use"
"O630","Prolonged first stage (of labour)"
"Z33","Pregnant state, incidental"
"F429","Obsessive-compulsive disorder, unspecified"
"I219","Acute myocardial infarction, unspecified"
"M80413","Small cell carcinoma NOS"
"O668","Labour and delivery affected by other dystocia"
"I611","Intracerebral haemorrhage in hemisphere, cortical"
"N138","Other obstructive and reflux uropathy"
"D176","Benign lipomatous neoplasm of spermatic cord"
"M2389","Other internal derangements of knee, unspecified ligament or unspecified meniscus"
"M80913","Multifocal superficial basal cell carcinoma"
"M81406","Adenocarcinoma, metastatic NOS"
"Z8712","Personal history of colonic polyps"
"K259","Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation"
"S2474","Functional spinal cord injury, T6/T7"
"W188","Other specified fall on same level"
"M85753","Metaplastic carcinoma NOS"
"J353","Hypertrophy of tonsils with hypertrophy of adenoids"
"P221","Transient tachypnoea of newborn"
"M96703","Lymphoma, small B lymphocytic NOS"
"T426","Other antiepileptic and sedative-hypnotic drugs"
"J981","Pulmonary collapse"
"S7241","Fracture of femoral condyle"
"K567","Ileus, unspecified"
"O240","Pre-existing diabetes mellitus, Type 1, in pregnancy"
"E1043","Type 1 diabetes mellitus with diabetic autonomic neuropathy"
"M1129","Other chondrocalcinosis, site unspecified"
"T465","Other antihypertensive drugs, not elsewhere classified"
"S068","Other intracranial injuries"
"S836","Sprain and strain of other and unspecified parts of knee"
"M91000","Hydatidiform mole NOS"
"O410","Oligohydramnios"
"O698","Labour and delivery complicated by other cord complications"
"H333","Retinal breaks without detachment"
"B9639","Haemophilus influenzae [H. influenzae] type not specified, as the cause of diseases classified to other chapters"
"H570","Anomalies of pupillary function"
"M88500","Lipoma NOS"
"K225","Diverticulum of oesophagus, acquired"
"M87600","Compound naevus"
"M81302","Papillary transitional cell carcinoma, non-invasive"
"Z850","Personal history of malignant neoplasm of digestive organs"
"R54","Senility"
"M88301","Atypical fibrous histiocytoma"
"N321","Vesicointestinal fistula"
"M82476","Merkel cell carcinoma, metastatic"
"Z743","Need for continuous supervision"
"E834","Disorders of magnesium metabolism"
"J988","Other specified respiratory disorders"
"M5499","Unspecified dorsalgia, site unspecified"
"J385","Laryngeal spasm"
"P285","Respiratory failure of newborn"
"M6597","Unspecified synovitis and tenosynovitis, ankle and foot"
"S0181","Open wound (of any part of head) communicating with a fracture"
"M90800","Teratoma, benign"
"M773","Calcaneal spur"
"O624","Hypertonic, incoordinate, and prolonged uterine contractions"
"W079","Fall involving unspecified chair"
"Z755","Holiday relief care"
"R400","Somnolence"
"G530","Postzoster neuralgia (B02.2+)"
"Z731","Accentuation of personality traits"
"Z0651","Resistance to penicillin"
"S6261","Fracture of proximal phalanx"
"M81443","Adenocarcinoma, intestinal type"
"M84800","Mucinous adenoma"
"J47","Bronchiectasis"
"Z380","Singleton, born in hospital"
"L309","Dermatitis, unspecified"
"S610","Open wound of finger(s) without damage to nail"
"S2200","Fracture of thoracic vertebra, level unspecified"
"R234","Changes in skin texture"
"K860","Alcohol-induced chronic pancreatitis"
"B372","Candidiasis of skin and nail"
"S6232","Fracture of shaft of other metacarpal bone(s)"
"M82613","Adenocarcinoma in villous adenoma"
"G720","Drug-induced myopathy"
"M99613","Primary myelofibrosis"
"Y526","Antihyperlipidaemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use"
"Y842","Radiological procedure and radiotherapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"S069","Intracranial injury, unspecified"
"M84103","Sebaceous adenocarcinoma"
"L299","Pruritus, unspecified"
"S023","Fracture of orbital floor"
"Q2482","Congenital cardiomegaly"
"M8407","Malunion of fracture, ankle and foot"
"M6747","Ganglion, ankle and foot"
"M87433","Superficial spreading melanoma"
"Z0658","Resistance to other beta-lactam antibiotics"
"V199","Pedal cyclist [any] injured in unspecified traffic accident"
"J09","Influenza due to certain identified influenza virus"
"M98743","Acute myeloid leukaemia with maturation"
"Y95","Nosocomial condition"
"Z4589","Adjustment and management of other implanted devices"
"J449","Chronic obstructive pulmonary disease, unspecified"
"O280","Abnormal haematological finding on antenatal screening of mother"
"M90840","Dermoid cyst NOS"
"S9082","Blister of ankle and foot"
"T823","Mechanical complication of other vascular grafts"
"A491","Streptococcal infection, unspecified site"
"M81703","Hepatocellular carcinoma NOS"
"M80772","Squamous intraepithelial neoplasia, high grade"
"S662","Injury of extensor muscle and tendon of thumb at wrist and hand level"
"O654","Labour and delivery affected by fetopelvic disproportion, unspecified"
"T953","Sequelae of burn and frostbite of lower limb"
"K5521","Angiodysplasia of colon without mention of haemorrhage"
"R638","Other symptoms and signs concerning food and fluid intake"
"S923","Fracture of metatarsal bone"
"B371","Pulmonary candidiasis"
"O140","Mild to moderate pre-eclampsia"
"Q2102","Perimembranous ventricular septal defect"
"P033","Fetus and newborn affected by delivery by vacuum extractor [ventouse]"
"S6304","Dislocation of carpometacarpal (joint)"
"M775","Other enthesopathy of foot"
"Z466","Fitting and adjustment of urinary device"
"K5782","Diverticulitis of intestine, part unspecified, with perforation and abscess, without mention of haemorrhage"
"R02","Gangrene, not elsewhere classified"
"K661","Haemoperitoneum"
"J698","Pneumonitis due to other solids and liquids"
"M81609","Cholangiocarcinoma, uncertain whether primary or metastatic"
"S620","Fracture of navicular [scaphoid] bone of hand"
"K2980","Duodenitis, without mention of haemorrhage"
"V031","Pedestrian injured in collision with car, pick-up truck or van, traffic accident"
"M750","Adhesive capsulitis of shoulder"
"S4202","Fracture of shaft of clavicle"
"I776","Arteritis, unspecified"
"E785","Hyperlipidaemia, unspecified"
"R508","Other specified fever"
"O758","Other specified complications of labour and delivery"
"B258","Other cytomegaloviral diseases"
"L600","Ingrowing nail"
"Z853","Personal history of malignant neoplasm of breast"
"K828","Other specified diseases of gallbladder"
"S4221","Fracture of head of humerus"
"K631","Perforation of intestine (nontraumatic)"
"E538","Deficiency of other specified B group vitamins"
"K226","Gastro-oesophageal laceration-haemorrhage syndrome"
"S9181","Open wound (of any part of ankle and foot) communicating with a fracture"
"M82100","Adenomatous polyp NOS"
"O321","Maternal care for breech presentation"
"Y832","Surgical operation with anastomosis, bypass or graft"
"M758","Other shoulder lesions"
"T402","Other opioids"
"I619","Intracerebral haemorrhage, unspecified"
"O996","Diseases of the digestive system complicating pregnancy, childbirth and the puerperium"
"N971","Female infertility of tubal origin"
"M0692","Rheumatoid arthritis, unspecified, upper arm"
"O648","Labour and delivery affected by other malposition and malpresentation"
"Q273","Peripheral arteriovenous malformation"
"R471","Dysarthria and anarthria"
"E877","Fluid overload"
"F100","Mental and behavioural disorders due to use of alcohol, acute intoxication"
"M83126","Renal cell carcinoma NOS, metastatic"
"I771","Stricture of artery"
"W078","Fall involving other specified chair"
"F122","Mental and behavioural disorders due to use of cannabinoids, dependence syndrome"
"I829","Embolism and thrombosis of unspecified vein"
"N058","Unspecified nephritic syndrome, other"
"H534","Visual field defects"
"Y848","Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"N808","Other endometriosis"
"M167","Other secondary coxarthrosis"
"Z223","Carrier of other specified bacterial diseases"
"G978","Other postprocedural disorders of nervous system"
"K413","Unilateral or unspecified femoral hernia, with obstruction, without gangrene"
"M2427","Disorder of ligament, ankle and foot"
"N320","Bladder neck obstruction"
"W50","Hit, struck, kicked, twisted, bitten or scratched by another person"
"K006","Disturbances in tooth eruption"
"Q7645","Hemivertebra"
"T884","Failed or difficult intubation"
"S641","Injury of median nerve at wrist and hand level"
"N323","Diverticulum of bladder"
"R05","Cough"
"S4213","Fracture of coracoid process"
"M1288","Other specific arthropathies, not elsewhere classified, other site"
"S134","Sprain and strain of cervical spine"
"R0988","Other specified symptoms and signs involving the circulatory system"
"O266","Liver disorders in pregnancy, childbirth and the puerperium"
"Z292","Other prophylactic pharmacotherapy"
"Z3901","Postpartum care after hospital delivery"
"M7962","Pain in limb, upper arm"
"K712","Toxic liver disease with acute hepatitis"
"W291","Contact with powered saw"
"S2738","Other and unspecified injuries of lung"
"M0006","Staphylococcal arthritis and polyarthritis, lower leg"
"I7022","Atherosclerosis of arteries of extremities with rest pain"
"M2401","Loose body in joint, shoulder region"
"I519","Heart disease, unspecified"
"N831","Corpus luteum cyst"
"M99803","Refractory anaemia"
"K029","Dental caries, unspecified"
"M87453","Desmoplastic melanoma, malignant"
"M81233","Basaloid carcinoma"
"M7925","Neuralgia and neuritis, unspecified, pelvic region and thigh"
"F418","Other specified anxiety disorders"
"E873","Alkalosis"
"W071","Fall involving folding chair"
"E1135","Type 2 diabetes mellitus with advanced ophthalmic disease"
"W181","Fall from or off toilet"
"M80713","Squamous cell carcinoma, keratinising NOS"
"C501","Malignant neoplasm of central portion of breast"
"I864","Gastric varices"
"R4589","Other symptoms and signs involving emotional state"
"M90200","Phyllodes tumour, benign"
"M2320","Derangement of meniscus due to old tear or injury, multiple sites"
"M966","Fracture of bone following insertion of orthopaedic implant, joint prosthesis, or bone plate"
"F318","Other bipolar affective disorders"
"F1339","Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state, other specified sedative or hypnotic"
"M8088","Other osteoporosis with pathological fracture, other site"
"R42","Dizziness and giddiness"
"N86","Erosion and ectropion of cervix uteri"
"S932","Rupture of ligaments at ankle and foot level"
"Z720","Tobacco use, current"
"O149","Pre-eclampsia, unspecified"
"G938","Other specified disorders of brain"
"M85203","Lobular carcinoma NOS"
"K2940","Chronic atrophic gastritis, without mention of haemorrhage"
"S0121","Open wound of nose, external skin"
"I272","Other secondary pulmonary hypertension"
"M6282","Other specified disorders of muscle, upper arm"
"T781","Other adverse food reactions, not elsewhere classified"
"W298","Contact with other specified powered hand tools and household machinery"
"D224","Melanocytic naevi of scalp and neck"
"V134","Pedal cyclist injured in collision with car, pick-up truck or van, driver, traffic accident"
"M80001","Neoplasm, uncertain whether benign or malignant"
"V189","Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist, traffic accident"
"I828","Embolism and thrombosis of other specified veins"
"I498","Other specified cardiac arrhythmias"
"K824","Cholesterolosis of gallbladder"
"K564","Other impaction of intestine"
"K650","Acute peritonitis"
"Y835","Amputation of limb(s)"
"M85002","Intraductal carcinoma, noninfiltrating NOS"
"F113","Mental and behavioural disorders due to use of opioids, withdrawal state"
"K5710","Diverticulosis of small intestine, without perforation, abscess or mention of haemorrhage"
"O700","First degree perineal laceration during delivery"
"O092","Duration of pregnancy 14-19 completed weeks"
"O469","Antepartum haemorrhage, unspecified"
"K550","Acute vascular disorders of intestine"
"G5819","Complex regional pain syndrome type I, other specified site"
"C8800","Waldenstrom macroglobulinaemia, without mention of remission"
"I719","Aortic aneurysm of unspecified site, without mention of rupture"
"G576","Lesion of plantar nerve"
"M2421","Disorder of ligament, shoulder region"
"M92201","Chondromatosis NOS"
"R630","Anorexia"
"K028","Other dental caries"
"L033","Cellulitis of trunk"
"Z522","Bone donor"
"C160","Malignant neoplasm of cardia"
"W05","Fall involving wheelchair"
"K5733","Diverticulitis of large intestine without perforation or abscess, with haemorrhage"
"M8195","Unspecified osteoporosis, pelvic region and thigh"
"Z932","Ileostomy status"
"L020","Cutaneous abscess, furuncle and carbuncle of face"
"M82633","Adenocarcinoma in tubulovillous adenoma"
"B354","Tinea corporis"
"D231","Other benign neoplasms of skin of eyelid, including canthus"
"O689","Labour and delivery complicated by fetal stress, unspecified"
"K098","Other cysts of oral region, not elsewhere classified"
"Z291","Prophylactic immunotherapy"
"N12","Tubulo-interstitial nephritis, not specified as acute or chronic"
"Y0406","Assault by bodily force, person unknown to the victim"
"R2989","Other and unspecified symptoms and signs involving the musculoskeletal system"
"G8003","Spastic quadriplegic cerebral palsy"
"Y542","Carbonic-anhydrase inhibitors causing adverse effects in therapeutic use"
"G910","Communicating hydrocephalus"
"M7979","Fibromyalgia, site unspecified"
"C794","Secondary malignant neoplasm of other and unspecified parts of nervous system"
"M1991","Arthrosis, unspecified, shoulder region"
"M8437","Stress fracture, not elsewhere classified, ankle and foot"
"I669","Occlusion and stenosis of unspecified cerebral artery"
"L982","Febrile neutrophilic dermatosis [Sweet]"
"M90513","Fibrous mesothelioma, malignant"
"W11","Fall on and from ladder"
"S2232","Fracture of one rib, other than first rib"
"D1801","Haemangioma, skin and subcutaneous tissue"
"F311","Bipolar affective disorder, current episode manic without psychotic symptoms"
"H532","Diplopia"
"P809","Hypothermia of newborn, unspecified"
"R402","Coma, unspecified"
"F458","Other somatoform disorders"
"B353","Tinea pedis"
"O610","Failed medical induction of labour"
"N280","Ischaemia and infarction of kidney"
"D1802","Haemangioma, intracranial structures"
"M97053","Angioimmunoblastic T-cell lymphoma"
"G519","Disorder of facial nerve, unspecified"
"D226","Melanocytic naevi of upper limb, including shoulder"
"Q7509","Other and unspecified craniosynostosis"
"D177","Benign lipomatous neoplasm of other sites"
"N412","Abscess of prostate"
"O366","Maternal care for excessive fetal growth"
"P120","Cephalhaematoma due to birth trauma"
"O664","Failed trial of labour, unspecified"
"S4181","Open wound (of any part of shoulder and upper arm) communicating with a fracture"
"A402","Sepsis due to streptococcus, group D"
"M85223","Infiltrating duct and lobular carcinoma"
"M85423","Paget disease, extramammary"
"C775","Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes"
"C792","Secondary malignant neoplasm of skin"
"B80","Enterobiasis"
"D1642","Benign neoplasm of maxillofacial bones"
"N170","Acute kidney failure with tubular necrosis"
"Q6689","Other congenital deformities of feet"
"T182","Foreign body in stomach"
"B007","Disseminated herpesviral disease"
"I429","Cardiomyopathy, unspecified"
"S299","Unspecified injury of thorax"
"M82130","Serrated adenoma"
"J929","Pleural plaque without asbestos"
"I120","Hypertensive kidney disease with kidney failure"
"G464","Cerebellar stroke syndrome (I60-I67+)"
"G312","Degeneration of nervous system due to alcohol"
"Y570","Appetite depressants [anorectics] causing adverse effects in therapeutic use"
"O998","Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium"
"M1004","Idiopathic gout, hand"
"E1152","Type 2 diabetes mellitus with peripheral angiopathy, with gangrene"
"M0096","Pyogenic arthritis, unspecified, lower leg"
"Z7510","Person awaiting admission to  acute hospital"
"M85030","Intraductal papilloma"
"M96983","Follicular lymphoma, grade 3"
"A4152","Sepsis due to Pseudomonas"
"M2415","Other articular cartilage disorders, pelvic region and thigh"
"E149","Unspecified diabetes mellitus without complication"
"R001","Bradycardia, unspecified"
"J343","Hypertrophy of nasal turbinates"
"M81301","Papillary transitional cell neoplasm of low malignant potential"
"B977","Papillomavirus as the cause of diseases classified to other chapters"
"E1143","Type 2 diabetes mellitus with diabetic autonomic neuropathy"
"O7182","Diastasis of recti abdominal muscle in pregnancy or delivery"
"O984","Viral hepatitis complicating pregnancy, childbirth and the puerperium"
"K2930","Chronic superficial gastritis, without mention of haemorrhage"
"I700","Atherosclerosis of aorta"
"S400","Contusion of shoulder and upper arm"
"M80503","Papillary carcinoma NOS"
"N184","Chronic kidney disease, stage 4"
"O099","Unspecified duration of pregnancy"
"Z602","Living alone"
"N930","Postcoital and contact bleeding"
"O365","Maternal care for poor fetal growth"
"K729","Hepatic failure, unspecified"
"I447","Left bundle-branch block, unspecified"
"M89361","Gastrointestinal stromal tumour NOS"
"S863","Injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level"
"I808","Phlebitis and thrombophlebitis of other sites"
"J352","Hypertrophy of adenoids"
"O343","Maternal care for cervical incompetence"
"R0989","Other specified symptoms and signs involving the respiratory system"
"M2324","Derangement of anterior horn of lateral meniscus due to old tear or injury"
"T803","ABO incompatibility reaction"
"S5200","Fracture of upper end of ulna, part unspecified"
"S301","Contusion of abdominal wall"
"M82493","Atypical carcinoid tumour"
"M91700","Lymphangioma NOS"
"F192","Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, dependence syndrome"
"W318","Contact with other specified machinery"
"M1997","Arthrosis, unspecified, ankle and foot"
"E804","Gilbert's syndrome"
"F29","Unspecified nonorganic psychosis"
"T887","Unspecified adverse effect of drug or medicament"
"M88320","Dermatofibroma NOS"
"Y495","Other antipsychotics and neuroleptics causing adverse effects in therapeutic use"
"N308","Other cystitis"
"J9609","Acute respiratory failure, type unspecified"
"M1391","Arthritis, unspecified, shoulder region"
"J383","Other diseases of vocal cords"
"D310","Benign neoplasm of conjunctiva"
"M95310","Meningothelial meningioma"
"T950","Sequelae of burn and frostbite of head and neck"
"N711","Chronic inflammatory disease of uterus"
"O210","Mild hyperemesis gravidarum"
"E1121","Type 2 diabetes mellitus with incipient diabetic nephropathy"
"Z3551","Supervision of primigravida with advanced maternal age"
"Q4332","Congenital intra-abdominal adhesions (bands)"
"Y433","Other antineoplastic drugs causing adverse effects in therapeutic use"
"G573","Lesion of lateral popliteal nerve"
"E1073","Type 1 diabetes mellitus with foot ulcer due to multiple causes"
"T000","Superficial injuries involving head with neck"
"B07","Viral warts"
"M6781","Other specified diseases of synovium and tendon, shoulder region"
"Z1383","Special screening examination for digestive tract disorder"
"O623","Precipitate labour"
"M88003","Sarcoma NOS"
"S619","Open wound of wrist and hand, part unspecified"
"D696","Thrombocytopenia, unspecified"
"K559","Vascular disorder of intestine, unspecified"
"M84413","Serous cystadenocarcinoma NOS"
"M1126","Other chondrocalcinosis, lower leg"
"S911","Open wound of toe(s) without damage to nail"
"O601","Preterm spontaneous labour with preterm delivery"
"M87500","Intradermal naevus"
"O669","Labour and delivery affected by dystocia, unspecified"
"M82103","Adenocarcinoma in adenomatous polyp"
"M8997","Unspecified disorder of bone, ankle and foot"
"Y929","Unspecified place of occurrence"
"M8095","Unspecified osteoporosis with pathological fracture, pelvic region and thigh"
"L899","Decubitus ulcer and pressure area, unspecified"
"K831","Obstruction of bile duct"
"Y9222","Health service area"
"P920","Vomiting in newborn"
"P051","Small for gestational age"
"F430","Acute stress reaction"
"Z9664","Presence of hip implant"
"Z598","Other problems related to housing and economic circumstances"
"O645","Labour and delivery affected by compound presentation"
"R21","Rash and other nonspecific skin eruption"
"N329","Bladder disorder, unspecified"
"M2572","Osteophyte, upper arm"
"O9220","Other and unspecified disorders of breast associated with childbirth, without mention of attachment difficulty"
"S519","Open wound of forearm, part unspecified"
"R090","Asphyxia"
"I2512","Atherosclerotic heart disease, of autologous bypass graft"
"K639","Disease of intestine, unspecified"
"S4300","Dislocation of shoulder, unspecified"
"Y9230","Sports and athletics area, sporting grounds (outdoor)"
"C311","Malignant neoplasm of ethmoidal sinus"
"V4759","Car occupant injured in collision with fixed or stationary object, driver, traffic accident, unspecified car [automobile]"
"B179","Acute viral hepatitis, unspecified"
"Y9209","Other and unspecified place in home"
"H698","Other specified disorders of Eustachian tube"
"W78","Inhalation of gastric contents"
"E1171","Type 2 diabetes mellitus with multiple microvascular and other specified nonvascular complications"
"Z9222","Personal history of long-term (current) use of other medicaments, insulin"
"S3471","Functional spinal cord injury, L1"
"J029","Acute pharyngitis, unspecified"
"Z950","Presence of cardiac device"
"O141","Severe pre-eclampsia"
"O358","Maternal care for other (suspected) fetal abnormality and damage"
"Z719","Counselling, unspecified"
"M6797","Unspecified disorder of synovium and tendon, ankle and foot"
"P220","Respiratory distress syndrome of newborn"
"D234","Other benign neoplasms of skin of scalp and neck"
"Y9288","Other specified place of occurrence"
"Y9282","Other specified place of occurrence, large area of water"
"Z961","Presence of intraocular lens"
"J384","Oedema of larynx"
"J80","Adult respiratory distress syndrome"
"Y9203","Bathroom"
"P928","Other feeding problems of newborn"
"M91003","Choriocarcinoma NOS"
"S061","Traumatic cerebral oedema"
"X102","Contact with hot fat and cooking oil"
"W36","Explosion and rupture of gas cylinder"
"T902","Sequelae of fracture of skull and facial bones"
"S501","Contusion of other and unspecified parts of forearm"
"Y9249","Unspecified public highway, street or road"
"R619","Hyperhidrosis, unspecified"
"Y9202","Garage"
"Y9214","Residential institution, aged care facilities"
"S3722","Rupture of bladder"
"I739","Peripheral vascular disease, unspecified"
"M95913","Lymphoma, non-Hodgkin NOS"
"R270","Ataxia, unspecified"
"D475","Chronic oesinophilic leukaemia [hyperoesinophilic syndrome]"
"K913","Postprocedural intestinal obstruction"
"F112","Mental and behavioural disorders due to use of opioids, dependence syndrome"
"Z515","Palliative care"
"B829","Intestinal parasitism, unspecified"
"Z608","Other problems related to social environment"
"S509","Superficial injury of forearm, unspecified"
"K869","Disease of pancreas, unspecified"
"Y9241","Street and highway, sidewalk"
"Z0661","Resistance to vancomycin"
"Y9233","Sports and athletics area, racetrack and racecourse"
"I694","Sequelae of stroke, not specified as haemorrhage or infarction"
"L022","Cutaneous abscess, furuncle and carbuncle of trunk"
"S8228","Other fracture of shaft of tibia"
"W066","Fall involving conventional bed"
"E43","Unspecified severe protein-energy malnutrition"
"R451","Restlessness and agitation"
"Z088","Follow-up examination after other treatment for malignant neoplasm"
"G700","Myasthenia gravis"
"Y9250","Trade and service area, shop and store"
"E781","Pure hyperglyceridaemia"
"Y9231","Sports and athletics area, sporting hall (indoor)"
"M6286","Other specified disorders of muscle, lower leg"
"M81210","Schneiderian papilloma NOS"
"Z980","Intestinal bypass and anastomosis status"
"R73","Elevated blood glucose level"
"C785","Secondary malignant neoplasm of large intestine and rectum"
"Y29","Contact with blunt object, undetermined intent"
"O629","Abnormality of forces of labour, unspecified"
"N804","Endometriosis of rectovaginal septum and vagina"
"S500","Contusion of elbow"
"H669","Otitis media, unspecified"
"Y86","Sequelae of other accidents"
"Y9201","Outdoor areas"
"S8082","Blister of lower leg"
"S020","Fracture of vault of skull"
"P271","Chronic neonatal lung disease"
"A408","Other streptococcal sepsis"
"B958","Unspecified staphylococcus as the cause of diseases classified to other chapters"
"S8181","Open wound (of any part of lower leg) communicating with a fracture"
"G14","Postpolio syndrome"
"O095","Duration of pregnancy 34-<37 completed weeks"
"T812","Accidental puncture and laceration during a procedure, not elsewhere classified"
"M90540","Adenomatoid tumour NOS"
"I890","Lymphoedema, not elsewhere classified"
"H490","Third [oculomotor] nerve palsy"
"S498","Other specified injuries of shoulder and upper arm"
"S369","Injury of unspecified intra-abdominal organ"
"L038","Cellulitis of other sites"
"O872","Haemorrhoids in the puerperium"
"H191","Herpesviral keratitis and keratoconjunctivitis (B00.5+)"
"Y9205","Bedroom"
"F172","Mental and behavioural disorders due to use of tobacco, dependence syndrome"
"O9221","Other and unspecified disorders of breast associated with childbirth, with mention of attachment difficulty"
"O721","Other immediate postpartum haemorrhage"
"G454","Transient global amnesia"
"R600","Localised oedema"
"Z634","Disappearance and death of family member"
"R031","Nonspecific low blood-pressure reading"
"Y423","Insulin and oral hypoglycaemic [antidiabetic] drugs causing adverse effects in therapeutic use"
"H549","Unspecified visual impairment"
"R490","Dysphonia"
"E291","Testicular hypofunction"
"R51","Headache"
"Y521","Calcium-channel blockers causing adverse effects in therapeutic use"
"D041","Carcinoma in situ of skin of eyelid, including canthus"
"E1142","Type 2 diabetes mellitus with diabetic polyneuropathy"
"Y883","Sequelae of surgical and medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"J019","Acute sinusitis, unspecified"
"M99853","Refractory cytopenia with multilineage dysplasia"
"R502","Drug-induced fever"
"C784","Secondary malignant neoplasm of small intestine"
"Q2110","Atrial septal defect, unspecified"
"L704","Infantile acne"
"D898","Other specified disorders involving the immune mechanism, not elsewhere classified"
"Y430","Antiallergic and antiemetic drugs causing adverse effects in therapeutic use"
"K469","Unspecified abdominal hernia without obstruction or gangrene"
"K904","Malabsorption due to intolerance, not elsewhere classified"
"W238","Caught, crushed, jammed or pinched in or between other objects"
"Z251","Need for immunisation against influenza"
"Z000","General medical examination"
"M1099","Gout, unspecified, site unspecified"
"Y442","Anticoagulants causing adverse effects in therapeutic use"
"X65","Intentional self-poisoning by and exposure to alcohol"
"Y9287","Other specified place of occurrence, parking lot"
"I394","Multiple valve disorders in diseases classified elsewhere"
"I288","Other specified diseases of pulmonary vessels"
"S667","Injury of multiple extensor muscles and tendons at wrist and hand level"
"F551","Harmful use of nondependence-producing substance, laxatives"
"L988","Other specified disorders of skin and subcutaneous tissue"
"M95903","Malignant lymphoma NOS"
"D728","Other specified disorders of white blood cells"
"F121","Mental and behavioural disorders due to use of cannabinoids, harmful use"
"S600","Contusion of finger(s) without damage to nail"
"Z9221","Personal history of long-term (current) use of medicaments, aspirin"
"F171","Mental and behavioural disorders due to use of tobacco, harmful use"
"D236","Other benign neoplasms of skin of upper limb, including shoulder"
"C07","Malignant neoplasm of parotid gland"
"Y9229","Other specified institution and public administrative area"
"I618","Other intracerebral haemorrhage"
"M84806","Mucinous adenocarcinoma, metastatic [Pseudomyxoma peritonei]"
"M90140","Serous adenofibroma NOS"
"R295","Neurologic neglect"
"G8226","Paraplegia, unspecified, incomplete, chronic"
"M7966","Pain in limb, lower leg"
"T885","Other complications of anaesthesia"
"M88903","Leiomyosarcoma NOS"
"M85006","Infiltrating duct carcinoma NOS, metastatic"
"E099","Intermediate hyperglycaemia without complication"
"D593","Haemolytic-uraemic syndrome"
"H919","Hearing loss, unspecified"
"J14","Pneumonia due to Haemophilus influenzae"
"S2204","Fracture of thoracic vertebra, T7 and T8 level"
"W12","Fall on and from scaffolding"
"H544","Blindness, monocular"
"M221","Recurrent subluxation of patella"
"Y9253","Trade and service area, cafe, hotel and restaurant"
"M83413","Papillary microcarcinoma"
"W84","Unspecified threat to breathing"
"S6217","Fracture of hamate bone"
"P2841","Apnoea of prematurity"
"W22","Striking against or struck by other objects"
"Y9258","Other specified trade and service area"
"S868","Injury of other muscles and tendons at lower leg level"
"O752","Pyrexia during labour, not elsewhere classified"
"C183","Malignant neoplasm of hepatic flexure"
"H358","Other specified retinal disorders"
"H218","Other specified disorders of iris and ciliary body"
"N948","Other specified conditions associated with female genital organs and menstrual cycle"
"B3788","Candidiasis of other sites"
"C449","Malignant neoplasm of skin, unspecified"
"Z5188","Other specified medical care"
"K765","Hepatic veno-occlusive disease"
"Z933","Colostomy status"
"K130","Diseases of lips"
"T8901","Open wound with foreign body (with or without infection)"
"R935","Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
"J128","Other viral pneumonia"
"E780","Pure hypercholesterolaemia"
"Y9204","Kitchen"
"Z132","Special screening examination for nutritional disorders"
"M8199","Unspecified osteoporosis, site unspecified"
"Z614","Problems related to alleged sexual abuse of child by person within primary support group"
"B373","Candidiasis of vulva and vagina (N77.1*)"
"O360","Maternal care for rhesus isoimmunisation"
"Z005","Examination of potential donor of organ and tissue"
"Y840","Cardiac catheterisation as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
"N888","Other specified noninflammatory disorders of cervix uteri"
"T1101","Abrasion of upper limb, level unspecified"
"A047","Enterocolitis due to Clostridium difficile"
"K269","Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation"
"Y451","Salicylates causing adverse effects in therapeutic use"
"K121","Other forms of stomatitis"
"M774","Metatarsalgia"
