Data Element Name,Code Set Identifier,Code Set Type,Code,Descriptor,Program/Stream Restriction
Episode Pathway Type,990078,Code Set,TCPTH,Episode TCP Transition to Home Based Care,
Episode Program/Stream,HL70069,Code Set,1,Rehabilitation,*SACS
Episode Program/Stream,HL70069,Code Set,2,Specialist Continence,*SACS
Episode Program/Stream,HL70069,Code Set,3,Specialist Cognitive,*SACS
Episode Program/Stream,HL70069,Code Set,4,Specialist Pain Management,*SACS
Episode Program/Stream,HL70069,Code Set,5,Specialist Falls,*SACS
Episode Program/Stream,HL70069,Code Set,6,Specialist Wound Management,*SACS
Episode Program/Stream,HL70069,Code Set,7,Younger Adult/Transition,*SACS
Episode Program/Stream,HL70069,Code Set,8,Specialist Paediatric Rehabilitation,*SACS
Episode Program/Stream,HL70069,Code Set,9,Specialist Polio,*SACS
Episode Program/Stream,HL70069,Code Set,11,Specialist Movement Disorders,*SACS
Episode Program/Stream,HL70069,Code Set,19,Specialist Other,*SACS
Episode Program/Stream,HL70069,Code Set,21,HARP - Respiratory Disease,*HARP
Episode Program/Stream,HL70069,Code Set,22,HARP - Heart Disease,*HARP
Episode Program/Stream,HL70069,Code Set,23,HARP - Diabetes,*HARP
Episode Program/Stream,HL70069,Code Set,24,HARP - People with Complex Needs,*HARP
Episode Program/Stream,HL70069,Code Set,25,HARP - People with Psychosocial Needs,*HARP
Episode Program/Stream,HL70069,Code Set,26,HARP - Renal,*HARP
Episode Program/Stream,HL70069,Code Set,27,HARP - HIV,*HARP
Episode Program/Stream,HL70069,Code Set,29,HARP - Other,*HARP
Episode Program/Stream,HL70069,Code Set,31,Post Acute Care ,*PAC
Episode Program/Stream,HL70069,Code Set,41,Community Palliative Care,*PC
Episode Program/Stream,HL70069,Code Set,51,Family Choice Program,*FCP
Episode Program/Stream,HL70069,Code Set,61,Victorian HIV Consultancy,*VHS
Episode Program/Stream,HL70069,Code Set,62,Victorian HIV Mental Health Service,*VHS
Episode Program/Stream,HL70069,Code Set,63,HIV Outreach Ambulatory Care ,*VHS
Episode Program/Stream,HL70069,Code Set,64,HIV CALD service,*VHS
Episode Program/Stream,HL70069,Code Set,65,Horizon Place,*VHS
Episode Program/Stream,HL70069,Code Set,66,Chronic Viral Illness Program,*VHS
Episode Program/Stream,HL70069,Code Set,67,Victorian NPEP service,*VHS
Episode Program/Stream,HL70069,Code Set,68,HIV Outreach Allied Health,*VHS
Episode Program/Stream,HL70069,Code Set,69,Sexual Health and Wellbeing Service,*VHS
Episode Program/Stream,HL70069,Code Set,81,Victorian Respiratory Support Service,*VRSS
Episode Program/Stream,HL70069,Code Set,91,Medi-hotel,*MediH
Episode Program/Stream,HL70069,Code Set,101,General Medicine,*OP
Episode Program/Stream,HL70069,Code Set,103,Cardiology,*OP
Episode Program/Stream,HL70069,Code Set,106,Gastroenterology,*OP
Episode Program/Stream,HL70069,Code Set,107,Haematology,*OP
Episode Program/Stream,HL70069,Code Set,108,Nephrology,*OP
Episode Program/Stream,HL70069,Code Set,109,Neurology,*OP
Episode Program/Stream,HL70069,Code Set,110,Oncology,*OP
Episode Program/Stream,HL70069,Code Set,111,Respiratory,*OP
Episode Program/Stream,HL70069,Code Set,112,Rheumatology,*OP
Episode Program/Stream,HL70069,Code Set,113,Dermatology,*OP
Episode Program/Stream,HL70069,Code Set,114,Infectious Diseases,*OP
Episode Program/Stream,HL70069,Code Set,116,"Immunology, includes Allergy",*OP
Episode Program/Stream,HL70069,Code Set,117,"Endocrinology, includes Diabetes",*OP
Episode Program/Stream,HL70069,Code Set,118,Hepatobiliary and Pancreas,*OP
Episode Program/Stream,HL70069,Code Set,119,Burns,*OP
Episode Program/Stream,HL70069,Code Set,201,General Surgery,*OP
Episode Program/Stream,HL70069,Code Set,202,Cardiothoracic surgery,*OP
Episode Program/Stream,HL70069,Code Set,203,Neurosurgery,*OP
Episode Program/Stream,HL70069,Code Set,204,Ophthalmology,*OP
Episode Program/Stream,HL70069,Code Set,205,"Ear, Nose and Throat",*OP
Episode Program/Stream,HL70069,Code Set,206,Plastic Surgery,*OP
Episode Program/Stream,HL70069,Code Set,207,Urology ,*OP
Episode Program/Stream,HL70069,Code Set,208,Vascular,*OP
Episode Program/Stream,HL70069,Code Set,209,Pre-admission,*OP
Episode Program/Stream,HL70069,Code Set,301,Dental,*OP
Episode Program/Stream,HL70069,Code Set,310,Orthopaedics / Musculoskeletal,*OP
Episode Program/Stream,HL70069,Code Set,311,Orthopaedic applications,*OP
Episode Program/Stream,HL70069,Code Set,312,Wound Care,*OP
Episode Program/Stream,HL70069,Code Set,313,Allied Health - Stand-alone,*OP
Episode Program/Stream,HL70069,Code Set,350,"Psychiatry and Behavioural Disorders, includes Alcohol and Drug",*OP
Episode Program/Stream,HL70069,Code Set,402,Obstetrics,*OP
Episode Program/Stream,HL70069,Code Set,403,Gynaecology,*OP
Episode Program/Stream,HL70069,Code Set,406,Reproductive Medicine and Family Planning,*OP
Episode Program/Stream,HL70069,Code Set,1001,Perinatals - Mother,*VPDC
Episode Program/Stream,HL70069,Code Set,1002,Perinatals - Baby,*VPDC
Episode Program/Stream,HL70069,Code Set,1101,Transition Care Program,*TCP
Episode Program/Stream,HL70069,Code Set,1201,Residential In-reach,*RIR
Episode Program/Stream,HL70069,Code Set,1300,Hospital Based Palliative Care Consultancy Team,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1301,Symptom Control/Pain Management,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1302,Discharge Planning,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1303,Psychosocial Support/Advocacy,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1304,Assessment,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1305,Terminal (end of life) Care,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1306,Symptom Control/Pain Management/Discharge Planning,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1307,Symptom Control/Pain Management/Psychosocial Support,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1308,Symptom Control/Pain Management/Assessment,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1309,Symptom Control/Pain Management/Terminal (end of life) Care,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1310,Discharge Planning/Psychosocial Support/Advocacy,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1311,Discharge Planning/Assessment,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1312,Discharge Planning/Terminal (end of life) Care,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1313,Psychosocial Support/Advocacy/Assessment,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1314,Psychosocial Support/Advocacy/Terminal (end of life) Care,*HBPCCT
Episode Program/Stream,HL70069,Code Set,1315,Assessment/Terminal (end of life) Care,*HBPCCT
Episode Proposed Treatment Plan Completion,HL70216,Code Set,10,Care plan/proposed treatment completed,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,21,Unplanned patient/client admission to hospital,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,22,Planned patient/client admission to hospital,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,25,Alteration in patient/client medical condition without hospital admission,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,27,Patient/client died,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,31,Patient/client has declined further services,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,33,Patient/client has moved from area,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,35,Patient/client is unable to be contacted,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,41,Patient/client has been referred to another service,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,43,No measurable benefit from continuing the service,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,51,Patient/client not complying with program,
Episode Proposed Treatment Plan Completion,HL70216,Code Set,53,Risk to client or staff prevents service provision,
External Assigning Authority,HL70363,Code Set,AUSDVA,Department of Veterans' Affairs (DVA),
External Assigning Authority,HL70363,Code Set,AUSHIC,Medicare Australia,
External Assigning Authority,HL70363,Code Set,AUSTACV,Transport Accident Commission (TAC),
External Assigning Authority,HL70363,Code Set,AUSVWA,Victorian Workcover Authority,
File Batch Accepted Indicator,VVE0002,Code Set,0,Batch not Accepted,
File Batch Accepted Indicator,VVE0002,Code Set,1,Batch Accepted,
File Batch Message Accepted Indicator,VVE0004,Code Set,0,Message Not Accepted,
File Batch Message Accepted Indicator,VVE0004,Code Set,1,Message Accepted,
File Batch Message Implied Program,VVE0005,List,,FCP,
File Batch Message Implied Program,VVE0005,List,,HARP,
File Batch Message Implied Program,VVE0005,List,,HBPCCT,
File Batch Message Implied Program,VVE0005,List,,MEDIHOTEL,
File Batch Message Implied Program,VVE0005,List,,NEUTRAL,
File Batch Message Implied Program,VVE0005,List,,OP,
File Batch Message Implied Program,VVE0005,List,,PAC,
File Batch Message Implied Program,VVE0005,List,,PC,
File Batch Message Implied Program,VVE0005,List,,RIR,
File Batch Message Implied Program,VVE0005,List,,SACS,
File Batch Message Implied Program,VVE0005,List,,TCP,
File Batch Message Implied Program,VVE0005,List,,VHS,
File Batch Message Implied Program,VVE0005,List,,VRSS,
File Batch Message Valid Indicator,VVE0003,Code Set,0,The message caused one or more validation events,
File Batch Message Valid Indicator,VVE0003,Code Set,1,The message did not cause any validation events,
File Processing Directive,990040,List,,GetEpisodeContactAudit=True;,
File Processing Directive,990040,List,,HTMLReport=True;,
File Processing Directive,990040,List,,PurgeAfterLoad=True;,
File Processing Directive,990040,List,,PurgeKey=<purge_key>;,
File Processing Directive,990040,List,,PurgeSubID=<sub_id>;,
File Processing Directive,990040,List,,StopOnFirstFailedBatch=True;,
File Processing Directive,990040,List,,SubmissionHistory=True;,
File Processing Directive,990040,List,,OrgSubHistoryReport=True,
File Processing Directive,990040,List,,OrgMsgHistoryReport=True,
File Processing Directive,990040,List,,RecordTransactionReport=True,
File Sending Application,HL70361,Code Set,DEQ,Dynamic Equilibrium,
File Sending Application,HL70361,Code Set,ECP,eClinic PalCare,
File Sending Application,HL70361,Code Set,HMS,Health Management Systems,
File Sending Application,HL70361,Code Set,HRA,Health service internal repository A,
File Sending Application,HL70361,Code Set,IBA,IBA Health,
File Sending Application,HL70361,Code Set,IPM,iSoft iPatient Manager,
File Sending Application,HL70361,Code Set,PJB,PJB Data Manager,
File Sending Application,HL70361,Code Set,TCM,Database Consultants Australia The Care Manager,
File Sending Application,HL70361,Code Set,TKC,TrakHealth TrakCare,
File Validation Event Record Identifier Type,VVE0001,List,,Batch Control Identifier,
File Validation Event Record Identifier Type,VVE0001,List,,Contact/Client Service Event Identifier,
File Validation Event Record Identifier Type,VVE0001,List,,Episode Identifier,
File Validation Event Record Identifier Type,VVE0001,List,,Inbound Referral Identifier,
File Validation Event Record Identifier Type,VVE0001,List,,Message Control Identifier,
File Validation Event Record Identifier Type,VVE0001,List,,NULL,
File Validation Event Record Identifier Type,VVE0001,List,,Patient Identifier,
File Validation Event Record Identifier Type,VVE0001,List,,Referral Out Identifier,
Identifier Type,HL70203,Code Set,A,Area/region/district,
Identifier Type,HL70203,Code Set,E,Externally assigned identifier,
Identifier Type,HL70203,Code Set,L,Local,
Identifier Type,HL70203,Code Set,VN,Visit Number,
Local Identifier Assigning Authority,HL70300,Code Set,101,The Alfred,
Local Identifier Assigning Authority,HL70300,Code Set,102,Bendigo Health Care Group – Bendigo Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,103,Austin Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,104,Bairnsdale Regional Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,105,Box Hill Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,107,Western District Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,109,Bundoora Extended Care Centre,
Local Identifier Assigning Authority,HL70300,Code Set,110,East Grampians Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,112,Goulburn Valley Health,
Local Identifier Assigning Authority,HL70300,Code Set,113,Colac Area Health,
Local Identifier Assigning Authority,HL70300,Code Set,115,Northeast Health Wangaratta,
Local Identifier Assigning Authority,HL70300,Code Set,116,Mercy Public Hospitals Inc – East Melbourne,
Local Identifier Assigning Authority,HL70300,Code Set,117,Monash Medical Centre – Clayton,
Local Identifier Assigning Authority,HL70300,Code Set,118,Western Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,119,Royal Childrens Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,121,Maroondah Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,122,Monash Medical Centre –Moorabbin,
Local Identifier Assigning Authority,HL70300,Code Set,123,Royal Womens Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,124,"Royal Victorian Eye & Ear Hospital, The",
Local Identifier Assigning Authority,HL70300,Code Set,125,Rosebud Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,126,Kyabram & District Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,127,Kyneton District Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,128,The Northern Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,129,Tallangatta Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,132,Mercy Public Hospitals Inc – Werribee,
Local Identifier Assigning Authority,HL70300,Code Set,133,Royal Melbourne Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,134,Heathcote Health,
Local Identifier Assigning Authority,HL70300,Code Set,135,Maryborough District Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,136,Sandringham & District Memorial Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,137,Caulfield General Medical Centre,
Local Identifier Assigning Authority,HL70300,Code Set,139,Sunshine Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,144,St Georges Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,145,St Vincents Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,146,Williamstown Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,148,Kooweerup Regional Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,149,Swan Hill District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,150,Hesse Rural Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,155,Peter MacCallum Cancer Institute,
Local Identifier Assigning Authority,HL70300,Code Set,156,East Wimmera Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,157,Rural Northwest Health,
Local Identifier Assigning Authority,HL70300,Code Set,158,West Gippsland Healthcare Group,
Local Identifier Assigning Authority,HL70300,Code Set,159,Angliss Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,166,Albury Wodonga Health ,
Local Identifier Assigning Authority,HL70300,Code Set,167,Bass Coast Regional Health,
Local Identifier Assigning Authority,HL70300,Code Set,170,St Georges Health Service – Aged Care,
Local Identifier Assigning Authority,HL70300,Code Set,177,Yarram & District Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,178,Yarrawonga District Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,188,Alpine Health,
Local Identifier Assigning Authority,HL70300,Code Set,190,Tweddle Child & Family Health Centre,
Local Identifier Assigning Authority,HL70300,Code Set,201,Ballarat Health Services,
Local Identifier Assigning Authority,HL70300,Code Set,202,Otway Health & Community Services,
Local Identifier Assigning Authority,HL70300,Code Set,203,Kingston Centre,
Local Identifier Assigning Authority,HL70300,Code Set,204,Omeo District Health,
Local Identifier Assigning Authority,HL70300,Code Set,205,Barwon Health – Geelong Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,206,Central Gippsland Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,207,Ballarat Health Services,
Local Identifier Assigning Authority,HL70300,Code Set,208,Caritas Christi Hospice Ltd,
Local Identifier Assigning Authority,HL70300,Code Set,209,Casterton Memorial Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,210,OConnell Family Centre (Grey Sisters) Inc.,
Local Identifier Assigning Authority,HL70300,Code Set,211,Dandenong Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,212,"Peter James Centre, The",
Local Identifier Assigning Authority,HL70300,Code Set,213,Cohuna District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,214,Coleraine District Health Services,
Local Identifier Assigning Authority,HL70300,Code Set,215,Upper Murray Health & Community Services,
Local Identifier Assigning Authority,HL70300,Code Set,216,South West Healthcare – Warnambool,
Local Identifier Assigning Authority,HL70300,Code Set,217,Wimmera Health Care Group – Horsham,
Local Identifier Assigning Authority,HL70300,Code Set,218,Echuca Regional Health,
Local Identifier Assigning Authority,HL70300,Code Set,219,Seymour Health,
Local Identifier Assigning Authority,HL70300,Code Set,221,Dunmunkle Health Services,
Local Identifier Assigning Authority,HL70300,Code Set,222,Frankston Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,223,Beaufort & Skipton Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,224,Kerang District Health,
Local Identifier Assigning Authority,HL70300,Code Set,225,Gippsland Southern Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,226,Stawell Regional Health,
Local Identifier Assigning Authority,HL70300,Code Set,228,Panch,
Local Identifier Assigning Authority,HL70300,Code Set,232,Mildura Base Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,233,Wantirna Health,
Local Identifier Assigning Authority,HL70300,Code Set,235,Heywood Rural Health,
Local Identifier Assigning Authority,HL70300,Code Set,236,Timboon & District Healthcare Service,
Local Identifier Assigning Authority,HL70300,Code Set,237,West Wimmera Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,239,Mallee Track Health & Community Service,
Local Identifier Assigning Authority,HL70300,Code Set,244,Latrobe Regional Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,245,Moyne Health Services,
Local Identifier Assigning Authority,HL70300,Code Set,246,Portland District Health,
Local Identifier Assigning Authority,HL70300,Code Set,248,East Wimmera Health Service – St Arnaud,
Local Identifier Assigning Authority,HL70300,Code Set,255,Lorne Community Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,258,Central Gippsland Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,259,Maldon Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,266,Manangatang & District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,267,Mansfield District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,297,Broadmeadows Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,301,Alexandra District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,302,Djerriwarrh Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,303,Numurkah & District Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,304,Barwon Health – MacKellar Centre,
Local Identifier Assigning Authority,HL70300,Code Set,305,Calvary Health Care Bethlehem,
Local Identifier Assigning Authority,HL70300,Code Set,306,Boort District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,308,South West Healthcare – Camperdown,
Local Identifier Assigning Authority,HL70300,Code Set,311,Queen Elizabeth Centre – Noble Park,
Local Identifier Assigning Authority,HL70300,Code Set,312,Beaufort & Skipton Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,313,Robinvale District Health Services,
Local Identifier Assigning Authority,HL70300,Code Set,314,Rochester & Elmore District Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,318,Wimmera Health Care Group – Dimboola,
Local Identifier Assigning Authority,HL70300,Code Set,319,East Wimmera Health Service – Donald,
Local Identifier Assigning Authority,HL70300,Code Set,322,Royal Talbot Rehabilitation Centre,
Local Identifier Assigning Authority,HL70300,Code Set,324,Edenhope & District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,333,Healesville and District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,335,Terang & Mortlake Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,337,Inglewood & District Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,346,"Kilmore & District Hospital, The",
Local Identifier Assigning Authority,HL70300,Code Set,359,Yea & District Memorial Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,366,Casey Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,367,Craigieburn,
Local Identifier Assigning Authority,HL70300,Code Set,401,Nathalia District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,402,Bendigo Health Care Group – Anne Caudle,
Local Identifier Assigning Authority,HL70300,Code Set,405,Benalla Health,
Local Identifier Assigning Authority,HL70300,Code Set,408,Mount Eliza Aged Care and Rehabilitation Service,
Local Identifier Assigning Authority,HL70300,Code Set,412,East Wimmera Health Service – Birchip,
Local Identifier Assigning Authority,HL70300,Code Set,413,East Wimmera Health Service – Charlton,
Local Identifier Assigning Authority,HL70300,Code Set,416,Hepburn Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,424,South Gippsland Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,446,Beechworth Health Service,
Local Identifier Assigning Authority,HL70300,Code Set,500,Test Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,501,Castlemaine Health,
Local Identifier Assigning Authority,HL70300,Code Set,505,Orbost Regional Health,
Local Identifier Assigning Authority,HL70300,Code Set,511,Dental Health Services Victoria,
Local Identifier Assigning Authority,HL70300,Code Set,512,Cobram District Hospital,
Local Identifier Assigning Authority,HL70300,Code Set,560,Lyndoch Warrnambool,
Local Identifier Assigning Authority,HL70300,Code Set,561,Inner Melbourne PAC (IMPAC),
Local Identifier Assigning Authority,HL70300,Code Set,562,Grampians PAC Program,
Local Identifier Assigning Authority,HL70300,Code Set,999,Unknown hospital,
Local Identifier Assigning Authority,HL70361,Code Set,DEQ,Dynamic Equilibrium,
Local Identifier Assigning Authority,HL70361,Code Set,ECP,eClinic PalCare,
Local Identifier Assigning Authority,HL70361,Code Set,HMS,Health Management Systems,
Local Identifier Assigning Authority,HL70361,Code Set,HRA,Health service internal repository A,
Local Identifier Assigning Authority,HL70361,Code Set,IBA,IBA Health,
Local Identifier Assigning Authority,HL70361,Code Set,IPM,iSoft iPatient Manager,
Local Identifier Assigning Authority,HL70361,Code Set,PJB,PJB Data Manager,
Local Identifier Assigning Authority,HL70361,Code Set,TCM,Database Consultants Australia The Care Manager,
Local Identifier Assigning Authority,HL70361,Code Set,TKC,TrakHealth TrakCare,
Local Identifier Assigning Authority,HL70361,Code Set,UNITI,UNITI,
Local Identifier Assigning Authority,HL70361,Code Set,XXX,Test System,
Message Accept Acknowledgement Code,HL70155,Code Set (Fixed Value),NE,Never,
Message Action Code,HL70287,Code Set,AD,Add,
Message Action Code,HL70287,Code Set,DE,Delete,
Message Action Code,HL70287,Code Set,UP,Update,
Message Character Set Code,HL70211,Code Set (Fixed Value),ASCII,The printable 7-bit ASCII character set.,
Message Origin Country Code,HL70399,Code Set (Fixed Value),AU,Australia (two character form),
Message Origin Country Code,HL70399,Code Set (Fixed Value),AUS,Australia (three character form),
Message Processing Identifier,HL70103,Code Set,D,Debugging,
Message Processing Identifier,HL70103,Code Set,P,Production,
Message Processing Identifier,HL70103,Code Set,T,Training,
Message Structure,HL70354,Code Set,ADT_A01,A01 message structure,
Message Structure,HL70354,Code Set,ADT_A39,A39 message structure,
Message Structure,HL70354,Code Set,PPP_PCB,PCB message structure,
Message Structure,HL70354,Code Set,PPP_PCG,PCG message structure,
Message Structure,HL70354,Code Set,REF_I12,I12 message structure,
Message Type,HL70003,Code Set,A03,Discharge/end visit event,
Message Type,HL70003,Code Set,A04,Register a patient event,
Message Type,HL70003,Code Set,A08,Update patient information event,
Message Type,HL70003,Code Set,A13,Cancel discharge / end visit event,
Message Type,HL70003,Code Set,A40,Merge patient - patient identifier list,
Message Type,HL70076,Code Set,ADT,Patient administration unsolicited update,
Message Type,HL70003,Code Set,I12,Patient referral,
Message Type,HL70003,Code Set,I13,Modify patient referral,
Message Type,HL70003,Code Set,I14,Cancel patient referral,
Message Type,HL70003,Code Set,PCB,Pathway (Problem-Oriented) Add,
Message Type,HL70003,Code Set,PCC,Pathway (Problem-Oriented) Update,
Message Type,HL70003,Code Set,PCD,Pathway (Problem-Oriented) Delete,
Message Type,HL70076,Code Set,PPP,Patient pathway (problem-oriented) message,
Message Type,HL70076,Code Set,REF,Patient referral,
Message Type,HL70076,Code Set,RRI,Return referral information,
Message Version Code,HL70104,Code Set (Fixed Value),2.5,Release 2.5,
Message Visit Indicator Code,HL70326,Code Set,E,Episode,
Message Visit Indicator Code,HL70326,Code Set,O,Contact,
Observation Bound Data Element,HL70396,Code Set,990033,Malignancy Flag,
Observation Bound Data Element,HL70396,Code Set,990036,Other Factors Affecting Health,
Observation Bound Data Element,HL70396,Code Set,990080,Episode Health Conditions,
Observation Bound Data Element,HL70396,Code Set,BARTHEL,Barthel Index,
Observation Bound Data Element,HL70396,Code Set,FIM,FIM Score,
Observation Bound Data Element,HL70396,Code Set,PCPSS,Palliative Care Problem Severity Score,
Organisation Identifier,HL70362,Code Set,AR,Austin Health,
Organisation Identifier,HL70362,Code Set,AUSDHSV,Department of Human Services Victoria,
Organisation Identifier,HL70362,Code Set,BCCHS,Bass Coast Community Health Service,
Organisation Identifier,HL70362,Code Set,BCH,Bellarine Community Health Inc,
Organisation Identifier,HL70362,Code Set,BCRH,Bass Coast Regional Health,
Organisation Identifier,HL70362,Code Set,BCS,Bethlehem Community Service,
Organisation Identifier,HL70362,Code Set,BDMH,Benalla Health,
Organisation Identifier,HL70362,Code Set,BH,Alfred Health,
Organisation Identifier,HL70362,Code Set,BHCG,Bendigo Health Care Group,
Organisation Identifier,HL70362,Code Set,BLH,Ballarat Health,
Organisation Identifier,HL70362,Code Set,BLHC,Ballarat Hospice Care Inc.,
Organisation Identifier,HL70362,Code Set,BPC ,Benalla Palliative Care,
Organisation Identifier,HL70362,Code Set,BPCS,Banksia Palliative Care Service Inc.,
Organisation Identifier,HL70362,Code Set,BRHS,Bairnsdale Regional Health Service,
Organisation Identifier,HL70362,Code Set,BWH,Barwon Health,
Organisation Identifier,HL70362,Code Set,CAH,Colac Area Health,
Organisation Identifier,HL70362,Code Set,CGHS,Central Gippsland Health Service,
Organisation Identifier,HL70362,Code Set,CGPC,Central Grampians Palliative Care,
Organisation Identifier,HL70362,Code Set,CHCB,Calvary Health Care Bethlehem,
Organisation Identifier,HL70362,Code Set,DJHS,Djerriwarrh Health Service,
Organisation Identifier,HL70362,Code Set,EGHS,East Grampians Health Service,
Organisation Identifier,HL70362,Code Set,EH,Eastern Health,
Organisation Identifier,HL70362,Code Set,EPCA,Eastern Palliative Care Association,
Organisation Identifier,HL70362,Code Set,ERH,Echuca Regional Health,
Organisation Identifier,HL70362,Code Set,GLCH,Gippsland Lakes Community Health Inc.,
Organisation Identifier,HL70362,Code Set,GSHS,Gippsland Southern Health Service,
Organisation Identifier,HL70362,Code Set,GVH,Goulburn Valley Health,
Organisation Identifier,HL70362,Code Set,GVHCS,Goulburn Valley Hospice Care Service Inc.,
Organisation Identifier,HL70362,Code Set,HHS,Hepburn Health Service,
Organisation Identifier,HL70362,Code Set,ISCHS,Inner South Community Health Service,
Organisation Identifier,HL70362,Code Set,KDHS,Kyneton District Health Service,
Organisation Identifier,HL70362,Code Set,LCHS,Latrobe Community Health Service Inc.,
Organisation Identifier,HL70362,Code Set,LHPC,Lower Hume Palliative Care,
Organisation Identifier,HL70362,Code Set,LRH,Latrobe Regional Hospital,
Organisation Identifier,HL70362,Code Set,LW,Lyndoch Warrnambool,
Organisation Identifier,HL70362,Code Set,MAH,Castlemaine Health,
Organisation Identifier,HL70362,Code Set,MBH,Mildura Base Hospital,
Organisation Identifier,HL70362,Code Set,MCM,Melbourne Citymission,
Organisation Identifier,HL70362,Code Set,MDHS,Maryborough District Health Service,
Organisation Identifier,HL70362,Code Set,MPC,Moira Palliative Care,
Organisation Identifier,HL70362,Code Set,MPH,Mercy Public Hospitals Inc.,
Organisation Identifier,HL70362,Code Set,MRPC,Macedon Ranges Palliative Care,
